   1.8004E-05   2.2303E-05   5.7400E-08  0.0434
   2.2303E-05   2.7630E-05   6.0819E-08  0.0468
   2.7630E-05   3.4229E-05   5.8388E-08  0.0441
   3.4229E-05   4.2403E-05   5.3685E-08  0.0473
   4.2403E-05   5.2531E-05   5.4063E-08  0.0468
   5.2531E-05   6.5076E-05   4.9945E-08  0.0441
   6.5076E-05   8.0618E-05   4.9402E-08  0.0488
   8.0618E-05   9.9872E-05   5.4787E-08  0.0538
   9.9872E-05   1.2372E-04   4.7755E-08  0.0486
   1.2372E-04   1.5327E-04   5.4335E-08  0.0449
   1.5327E-04   1.8988E-04   4.5385E-08  0.0413
   1.8988E-04   2.3523E-04   4.9815E-08  0.0441
   2.3523E-04   2.9140E-04   4.1535E-08  0.0470
   2.9140E-04   3.6100E-04   4.0263E-08  0.0407
   3.6100E-04   4.4721E-04   4.2117E-08  0.0387
   4.4721E-04   5.5402E-04   4.0572E-08  0.0436
   5.5402E-04   6.8633E-04   3.7081E-08  0.0407
   6.8633E-04   8.5025E-04   3.7010E-08  0.0356
   8.5025E-04   1.0533E-03   3.5766E-08  0.0226
   1.0533E-03   1.3049E-03   3.5689E-08  0.0135
   1.3049E-03   1.6165E-03   3.5779E-08  0.0146
   1.6165E-03   2.0026E-03   3.4827E-08  0.0146
   2.0026E-03   2.4808E-03   3.6044E-08  0.0145
   2.4808E-03   3.0733E-03   2.6451E-08  0.0145
   3.0733E-03   3.8073E-03   2.8237E-08  0.0156
   3.8073E-03   4.7166E-03   3.0341E-08  0.0156
   4.7166E-03   5.8430E-03   3.0487E-08  0.0163
   5.8430E-03   7.2385E-03   3.0359E-08  0.0170
   7.2385E-03   8.9672E-03   2.9331E-08  0.0164
   8.9672E-03   1.1109E-02   2.8504E-08  0.0169
   1.1109E-02   1.3762E-02   2.7903E-08  0.0170
   1.3762E-02   1.7049E-02   2.7497E-08  0.0165
   1.7049E-02   2.1120E-02   2.7185E-08  0.0169
   2.1120E-02   2.6164E-02   2.7390E-08  0.0176
   2.6164E-02   3.2413E-02   2.7362E-08  0.0188
   3.2413E-02   4.0154E-02   2.6501E-08  0.0170
   4.0154E-02   4.9744E-02   2.7568E-08  0.0166
   4.9744E-02   6.1624E-02   2.7166E-08  0.0177
   6.1624E-02   7.6342E-02   2.7692E-08  0.0193
   7.6342E-02   9.4574E-02   2.8112E-08  0.0191
   9.4574E-02   1.1716E-01   3.0479E-08  0.0182
   1.1716E-01   1.4514E-01   3.1509E-08  0.0184
   1.4514E-01   1.7981E-01   3.2528E-08  0.0187
   1.7981E-01   2.2275E-01   2.4478E-08  0.0194
   2.2275E-01   2.7595E-01   2.9880E-08  0.0179
   2.7595E-01   3.4185E-01   3.2018E-08  0.0195
   3.4185E-01   4.2349E-01   2.3384E-08  0.0210
   4.2349E-01   5.2463E-01   3.3277E-08  0.0216
   5.2463E-01   6.4993E-01   3.9482E-08  0.0216
   6.4993E-01   8.0515E-01   2.8065E-08  0.0284
   8.0515E-01   9.9744E-01   7.5612E-09  0.0482
   9.9744E-01   1.2357E+00   4.4618E-09  0.0596
   1.2357E+00   1.5308E+00   5.7800E-09  0.0580
   1.5308E+00   1.8963E+00   5.6277E-09  0.0598
   1.8963E+00   2.3492E+00   7.3752E-09  0.0565
   2.3492E+00   2.9103E+00   8.4204E-09  0.0522
   2.9103E+00   3.6054E+00   6.0785E-09  0.0692
   3.6054E+00   4.4664E+00   6.1099E-09  0.0699
   4.4664E+00   5.5331E+00   8.2387E-09  0.0712
   5.5331E+00   6.8545E+00   8.2508E-09  0.0733
   6.8545E+00   8.4916E+00   7.7101E-09  0.0727
   8.4916E+00   1.0520E+01   3.4218E-09  0.1059
   1.0520E+01   1.3032E+01   0.0000E+00  0.0000
   1.3032E+01   1.6144E+01   0.0000E+00  0.0000
   1.6144E+01   2.0000E+01   0.0000E+00  0.0000

#   sum over                 3.1536E-05

'no. =  3,  reg  =      3'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.17}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.1781E+05 [cm^3]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  4   reg =      4

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n 
#  e-lower      e-upper      neutron     r.err 
   1.0000E-08   1.2388E-08   1.6267E-07  0.0178
   1.2388E-08   1.5347E-08   2.2146E-07  0.0176
   1.5347E-08   1.9012E-08   2.9989E-07  0.0170
   1.9012E-08   2.3553E-08   3.9328E-07  0.0161
   2.3553E-08   2.9178E-08   4.8871E-07  0.0163
   2.9178E-08   3.6146E-08   5.9347E-07  0.0158
   3.6146E-08   4.4779E-08   6.7607E-07  0.0154
   4.4779E-08   5.5473E-08   7.0787E-07  0.0160
   5.5473E-08   6.8722E-08   6.9158E-07  0.0154
   6.8722E-08   8.5134E-08   5.9613E-07  0.0162
   8.5134E-08   1.0547E-07   4.4858E-07  0.0170
   1.0547E-07   1.3065E-07   2.8773E-07  0.0176
   1.3065E-07   1.6186E-07   1.5442E-07  0.0214
   1.6186E-07   2.0051E-07   6.8800E-08  0.0283
   2.0051E-07   2.4840E-07   2.6713E-08  0.0459
   2.4840E-07   3.0773E-07   1.1459E-08  0.0787
   3.0773E-07   3.8122E-07   7.9409E-09  0.0889
   3.8122E-07   4.7226E-07   6.3029E-09  0.0941
   4.7226E-07   5.8505E-07   6.0242E-09  0.1070
   5.8505E-07   7.2478E-07   5.8937E-09  0.1075
   7.2478E-07   8.9788E-07   5.9478E-09  0.1035
   8.9788E-07   1.1123E-06   5.5254E-09  0.1005
   1.1123E-06   1.3780E-06   5.5945E-09  0.0907
   1.3780E-06   1.7071E-06   5.8377E-09  0.0858
   1.7071E-06   2.1147E-06   5.8640E-09  0.0894
   2.1147E-06   2.6198E-06   5.4010E-09  0.0971
   2.6198E-06   3.2455E-06   4.8031E-09  0.1008
   3.2455E-06   4.0206E-06   5.2504E-09  0.0952
   4.0206E-06   4.9808E-06   4.2656E-09  0.0944
   4.9808E-06   6.1703E-06   5.3017E-09  0.0946
   6.1703E-06   7.6440E-06   3.9005E-09  0.1040
   7.6440E-06   9.4696E-06   4.1784E-09  0.1126
   9.4696E-06   1.1731E-05   3.1645E-09  0.1162
   1.1731E-05   1.4533E-05   4.5243E-09  0.0996
   1.4533E-05   1.8004E-05   4.0767E-09  0.1041
   1.8004E-05   2.2303E-05   4.3873E-09  0.1081
   2.2303E-05   2.7630E-05   4.5648E-09  0.1065
   2.7630E-05   3.4229E-05   3.3028E-09  0.1186
   3.4229E-05   4.2403E-05   3.9859E-09  0.1014
   4.2403E-05   5.2531E-05   3.4130E-09  0.1056
   5.2531E-05   6.5076E-05   3.3358E-09  0.0988
   6.5076E-05   8.0618E-05   3.3793E-09  0.0957
   8.0618E-05   9.9872E-05   3.0281E-09  0.1227
   9.9872E-05   1.2372E-04   2.6166E-09  0.0904
   1.2372E-04   1.5327E-04   3.5016E-09  0.1146
   1.5327E-04   1.8988E-04   3.3932E-09  0.1162
   1.8988E-04   2.3523E-04   2.6270E-09  0.1211
   2.3523E-04   2.9140E-04   2.4807E-09  0.1070
   2.9140E-04   3.6100E-04   2.6216E-09  0.1127
   3.6100E-04   4.4721E-04   2.1568E-09  0.0977
   4.4721E-04   5.5402E-04   2.0626E-09  0.0971
   5.5402E-04   6.8633E-04   2.3525E-09  0.1102
   6.8633E-04   8.5025E-04   2.0727E-09  0.0780
   8.5025E-04   1.0533E-03   2.1609E-09  0.0668
   1.0533E-03   1.3049E-03   2.0293E-09  0.0396
   1.3049E-03   1.6165E-03   2.0916E-09  0.0423
   1.6165E-03   2.0026E-03   2.0517E-09  0.0458
   2.0026E-03   2.4808E-03   2.1466E-09  0.0390
   2.4808E-03   3.0733E-03   1.6021E-09  0.0446
   3.0733E-03   3.8073E-03   1.6704E-09  0.0479
   3.8073E-03   4.7166E-03   1.9622E-09  0.0440
   4.7166E-03   5.8430E-03   1.8106E-09  0.0425
   5.8430E-03   7.2385E-03   1.7981E-09  0.0441
   7.2385E-03   8.9672E-03   1.8424E-09  0.0460
   8.9672E-03   1.1109E-02   1.6168E-09  0.0473
